Day,Archibald the Wise,Archiwise the Bald,Averill,Azeru,Boltholopew,Burova,Cayn,Danny Nova,Dankon Ground,Gnarck,Gouberi,Lomerius Xardus,Moon Finder,Nettie Silver,Penta Vasi,Ricewined,Tehami Darke,Yungreen,Zancro,Zeledin Zura
2212,7,7,9,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,5,N/A,N/A,6,N/A,3,4
2213,5,7,N/A,2,N/A,N/A,N/A,N/A,10,N/A,N/A,6,N/A,10,N/A,N/A,6,N/A,N/A,4
2214,1,5,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,4,12,N/A,N/A,6,N/A,11,4
2215,3,7,N/A,4,N/A,N/A,N/A,2,N/A,N/A,N/A,5,4,10,N/A,N/A,3,N/A,N/A,4
2216,3,5,N/A,5,N/A,N/A,N/A,3,N/A,N/A,N/A,6,N/A,6,N/A,6,6,N/A,8,4
2217,3,5,N/A,6,10,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,11,N/A,10,6,N/A,N/A,4
2218,3,N/A,N/A,7,9,N/A,N/A,N/A,N/A,N/A,N/A,6,2,10,N/A,N/A,6,N/A,N/A,4
2219,3,N/A,6,8,6,N/A,N/A,N/A,7,N/A,N/A,8,11,12,N/A,N/A,7,N/A,N/A,4
2220,3,5,N/A,9,N/A,N/A,N/A,3,N/A,N/A,N/A,7,N/A,10,N/A,N/A,10,N/A,N/A,4
2221,3,7,N/A,N/A,N/A,N/A,10,7,1,N/A,N/A,6,N/A,8,N/A,N/A,6,N/A,N/A,4
2222,3,7,N/A,11,N/A,N/A,N/A,9,5,N/A,N/A,6,7,9,N/A,N/A,8,N/A,12,4
2223,7,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,2,2,N/A,N/A,9,N/A,N/A,4
2224,3,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,11,N/A,N/A,8,N/A,N/A,4
2225,6,7,4,2,11,N/A,N/A,8,N/A,N/A,N/A,5,3,8,N/A,N/A,6,N/A,N/A,4
2226,7,N/A,N/A,3,7,N/A,N/A,4,N/A,N/A,N/A,6,3,12,N/A,N/A,6,N/A,N/A,4
2227,4,N/A,N/A,N/A,11,N/A,4,N/A,N/A,N/A,N/A,6,9,7,N/A,6,9,N/A,N/A,4
2228,5,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,11,11,N/A,6,8,N/A,12,4
2229,3,7,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,3,N/A,N/A,4,N/A,N/A,4
2230,4,7,N/A,7,N/A,N/A,N/A,5,N/A,N/A,N/A,7,8,11,N/A,N/A,6,N/A,N/A,4
2231,4,5,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,12,N/A,N/A,5,N/A,N/A,4
2232,3,7,N/A,9,N/A,N/A,N/A,3,N/A,N/A,N/A,6,N/A,7,N/A,N/A,6,N/A,12,4
2233,2,7,N/A,N/A,10,N/A,10,N/A,N/A,N/A,N/A,6,11,9,N/A,N/A,6,N/A,1,4
2234,6,N/A,3,11,11,N/A,N/A,N/A,5,N/A,N/A,N/A,7,11,N/A,N/A,8,N/A,N/A,4
2235,3,N/A,N/A,12,11,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,8,N/A,N/A,6,N/A,N/A,4
2236,3,5,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,6,9,9,N/A,N/A,6,N/A,N/A,4
2237,3,7,N/A,2,N/A,N/A,N/A,3,N/A,N/A,N/A,5,3,12,N/A,N/A,3,N/A,3,4
2238,3,5,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,6,10,12,N/A,N/A,6,N/A,N/A,4
2239,4,5,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,5,10,8,N/A,N/A,6,N/A,N/A,4
2240,3,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,6,N/A,N/A,4
2241,6,5,4,N/A,8,N/A,6,N/A,N/A,N/A,N/A,6,10,12,N/A,N/A,6,N/A,N/A,4
2242,3,N/A,N/A,7,9,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,4,N/A,N/A,11,N/A,N/A,4
2243,3,N/A,N/A,8,4,N/A,N/A,5,9,N/A,N/A,7,10,12,N/A,N/A,6,N/A,5,4
2244,4,7,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,6,8,3,N/A,N/A,6,N/A,N/A,4
2245,2,5,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,11,N/A,N/A,8,N/A,N/A,4
2246,3,5,N/A,N/A,N/A,N/A,11,2,N/A,N/A,N/A,4,9,11,N/A,N/A,6,N/A,N/A,4
2247,3,7,N/A,12,N/A,N/A,N/A,N/A,7,N/A,N/A,6,8,11,N/A,N/A,6,N/A,N/A,4
2248,3,7,N/A,1,N/A,N/A,N/A,10,N/A,N/A,N/A,8,1,12,N/A,N/A,11,N/A,N/A,4
2249,3,5,10,2,7,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,4,N/A,N/A,7,N/A,N/A,4
2250,3,N/A,N/A,3,9,N/A,N/A,N/A,N/A,N/A,N/A,8,6,10,N/A,6,6,N/A,N/A,4
2251,1,N/A,N/A,4,9,N/A,N/A,7,N/A,N/A,N/A,6,3,5,N/A,7,6,N/A,N/A,4
2252,3,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,9,N/A,9,6,N/A,N/A,4
2253,3,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,11,7,N/A,6,6,N/A,N/A,4
2254,6,5,N/A,N/A,N/A,N/A,7,N/A,7,N/A,N/A,4,N/A,9,N/A,9,6,N/A,N/A,4
2255,3,5,N/A,8,N/A,N/A,N/A,8,N/A,N/A,N/A,6,N/A,12,N/A,6,10,N/A,N/A,4
2256,4,5,N/A,9,N/A,N/A,N/A,6,N/A,N/A,N/A,4,9,9,N/A,7,6,N/A,N/A,4
2257,2,7,4,10,8,N/A,N/A,7,N/A,N/A,N/A,5,N/A,12,N/A,6,10,N/A,N/A,4
2258,1,N/A,N/A,11,6,N/A,N/A,N/A,10,N/A,N/A,4,4,11,N/A,6,6,N/A,N/A,4
2259,2,N/A,N/A,N/A,10,N/A,12,5,N/A,N/A,N/A,6,8,10,N/A,N/A,9,N/A,8,4
2260,3,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,8,9,N/A,N/A,11,N/A,N/A,4
2261,3,7,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,6,10,12,N/A,N/A,6,N/A,N/A,4
2262,3,7,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,11,12,N/A,6,9,N/A,N/A,4
2263,3,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,12,N/A,4,11,N/A,N/A,4
2264,1,5,N/A,5,N/A,N/A,N/A,3,N/A,N/A,N/A,6,N/A,12,N/A,6,6,N/A,N/A,4
2265,1,5,N/A,N/A,7,N/A,6,9,N/A,N/A,N/A,7,8,7,N/A,N/A,6,N/A,N/A,4
2266,3,N/A,N/A,7,11,N/A,N/A,N/A,N/A,N/A,N/A,6,2,12,N/A,N/A,6,N/A,N/A,4
2267,5,N/A,N/A,N/A,11,N/A,8,6,N/A,N/A,N/A,6,1,11,N/A,N/A,6,N/A,N/A,4
2268,2,5,N/A,9,N/A,N/A,N/A,1,N/A,N/A,N/A,6,N/A,8,N/A,N/A,8,N/A,7,4
2269,N/A,7,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,5,11,10,N/A,N/A,9,N/A,N/A,4
2270,N/A,7,N/A,N/A,N/A,N/A,11,4,N/A,N/A,N/A,6,6,12,N/A,N/A,4,N/A,N/A,4
2271,N/A,5,N/A,12,N/A,N/A,N/A,4,N/A,N/A,N/A,6,N/A,6,N/A,N/A,6,N/A,11,4
2272,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,12,N/A,N/A,9,N/A,N/A,4
2273,N/A,5,N/A,2,8,N/A,N/A,N/A,N/A,N/A,N/A,4,10,9,N/A,N/A,9,N/A,2,4
2274,N/A,N/A,N/A,N/A,9,N/A,3,N/A,N/A,N/A,N/A,6,N/A,12,N/A,N/A,11,N/A,N/A,4
2275,N/A,N/A,5,4,8,N/A,N/A,N/A,N/A,N/A,N/A,6,11,6,N/A,N/A,6,N/A,N/A,4
2276,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,5,9,6,N/A,N/A,6,N/A,8,4
2277,N/A,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,2,12,N/A,N/A,6,N/A,N/A,4
2278,N/A,7,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,5,4,5,N/A,6,11,N/A,3,4
2279,N/A,5,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,7,8,11,N/A,6,6,N/A,N/A,4
2280,N/A,5,N/A,N/A,N/A,N/A,9,6,N/A,N/A,N/A,6,8,12,N/A,11,7,N/A,N/A,4
2281,N/A,5,N/A,10,7,N/A,N/A,N/A,4,N/A,N/A,6,9,6,N/A,6,8,N/A,N/A,4
2282,N/A,N/A,N/A,11,9,N/A,N/A,N/A,N/A,N/A,N/A,5,1,7,N/A,N/A,6,N/A,N/A,4
2283,N/A,N/A,N/A,12,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,N/A,6,6,N/A,N/A,4
2284,N/A,5,N/A,N/A,N/A,N/A,1,N/A,7,N/A,N/A,6,9,12,N/A,N/A,6,N/A,N/A,4
2285,N/A,5,N/A,2,N/A,N/A,N/A,8,N/A,N/A,N/A,4,4,11,N/A,N/A,6,N/A,2,4
2286,N/A,5,N/A,N/A,N/A,N/A,3,2,N/A,N/A,N/A,8,4,8,N/A,6,11,N/A,7,4
2287,N/A,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,12,N/A,9,6,N/A,N/A,4
2288,N/A,5,N/A,5,N/A,N/A,N/A,1,N/A,N/A,N/A,5,N/A,4,N/A,10,6,N/A,12,4
2289,N/A,7,9,6,5,N/A,N/A,7,N/A,N/A,N/A,5,9,10,N/A,8,10,N/A,11,4
2290,N/A,N/A,N/A,7,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,7,N/A,6,6,N/A,N/A,4
2291,N/A,N/A,N/A,8,9,N/A,N/A,10,N/A,N/A,N/A,6,N/A,7,N/A,6,6,N/A,N/A,4
2292,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,6,12,N/A,8,6,N/A,N/A,4
2293,N/A,5,N/A,10,N/A,N/A,N/A,N/A,8,N/A,N/A,7,N/A,2,N/A,N/A,6,N/A,N/A,4
2294,N/A,5,N/A,N/A,N/A,N/A,11,6,6,N/A,N/A,6,6,10,N/A,N/A,9,N/A,N/A,4
2295,N/A,5,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,5,8,9,N/A,N/A,6,N/A,N/A,4
2296,N/A,7,4,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,5,N/A,6,N/A,N/A,6,N/A,10,4
2297,N/A,7,N/A,N/A,8,N/A,2,N/A,N/A,N/A,N/A,5,8,10,N/A,N/A,11,N/A,N/A,4
2298,N/A,N/A,N/A,3,7,N/A,N/A,3,N/A,N/A,N/A,7,7,11,N/A,N/A,6,N/A,N/A,4
2299,N/A,N/A,N/A,4,7,N/A,N/A,N/A,N/A,N/A,N/A,5,9,11,N/A,6,6,N/A,N/A,4
2300,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,6,1,10,N/A,N/A,6,N/A,N/A,4
2301,N/A,5,N/A,6,N/A,N/A,N/A,6,N/A,N/A,N/A,5,N/A,6,N/A,N/A,3,N/A,9,4
2302,N/A,7,N/A,N/A,N/A,N/A,7,3,N/A,N/A,N/A,5,10,10,N/A,N/A,6,N/A,3,4
2303,N/A,7,N/A,8,N/A,N/A,N/A,1,N/A,N/A,N/A,6,9,3,N/A,N/A,6,N/A,N/A,4
2304,N/A,7,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,7,N/A,4,N/A,N/A,6,N/A,N/A,4
2305,N/A,5,7,10,10,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,2,N/A,N/A,6,N/A,N/A,4
2306,N/A,N/A,N/A,N/A,9,N/A,11,N/A,N/A,N/A,N/A,5,8,12,N/A,6,11,N/A,3,4
2307,N/A,N/A,N/A,N/A,11,N/A,12,N/A,1,N/A,N/A,6,10,2,N/A,N/A,6,N/A,N/A,4
2308,N/A,7,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,6,1,4,N/A,N/A,11,N/A,2,4
2309,N/A,5,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,6,11,8,N/A,N/A,6,N/A,11,4
2310,N/A,7,N/A,N/A,N/A,N/A,3,9,N/A,N/A,N/A,6,8,12,N/A,N/A,6,N/A,N/A,4
2311,N/A,5,N/A,4,N/A,N/A,N/A,4,N/A,N/A,N/A,5,2,12,N/A,N/A,6,N/A,N/A,4
2312,N/A,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,12,N/A,N/A,6,N/A,N/A,4
2313,N/A,7,N/A,6,7,N/A,N/A,N/A,N/A,N/A,N/A,7,9,3,N/A,N/A,6,N/A,N/A,4
2314,N/A,N/A,N/A,N/A,11,N/A,7,N/A,N/A,N/A,N/A,5,8,2,N/A,N/A,6,N/A,N/A,4
2315,N/A,N/A,4,8,11,N/A,N/A,6,N/A,N/A,N/A,7,4,12,N/A,N/A,6,N/A,N/A,4
2316,N/A,5,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,10,8,N/A,N/A,6,N/A,N/A,4
2317,N/A,7,N/A,10,N/A,N/A,N/A,8,N/A,N/A,N/A,6,9,10,N/A,N/A,6,N/A,N/A,4
2318,N/A,7,N/A,N/A,N/A,N/A,11,7,N/A,N/A,N/A,6,9,10,N/A,N/A,6,N/A,N/A,4
2319,N/A,5,N/A,N/A,N/A,N/A,12,1,N/A,N/A,N/A,6,11,11,N/A,N/A,6,N/A,2,4
2320,N/A,5,N/A,N/A,N/A,N/A,1,8,N/A,N/A,N/A,5,4,12,N/A,N/A,6,N/A,N/A,4
2321,N/A,5,N/A,N/A,11,N/A,2,2,N/A,N/A,N/A,7,2,3,N/A,N/A,6,N/A,N/A,4
2322,N/A,N/A,6,3,11,N/A,N/A,7,N/A,N/A,N/A,7,N/A,9,N/A,N/A,6,N/A,N/A,4
2323,N/A,N/A,N/A,4,7,N/A,N/A,N/A,5,N/A,N/A,6,N/A,7,N/A,N/A,6,N/A,N/A,4
2324,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,5,7,10,N/A,N/A,11,N/A,N/A,4
2325,N/A,5,N/A,N/A,N/A,N/A,6,6,N/A,N/A,N/A,8,4,11,N/A,N/A,7,N/A,6,4
2326,N/A,5,N/A,N/A,N/A,N/A,7,7,N/A,N/A,N/A,5,11,10,N/A,6,8,N/A,8,4
2327,N/A,7,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,9,N/A,9,6,N/A,N/A,4
2328,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,4,7,10,N/A,11,6,N/A,N/A,4
2329,N/A,7,2,10,8,N/A,N/A,N/A,N/A,N/A,N/A,7,9,8,N/A,4,9,N/A,12,4
2330,N/A,N/A,N/A,11,11,N/A,N/A,N/A,N/A,N/A,N/A,6,8,9,N/A,4,6,N/A,1,4
2331,N/A,N/A,N/A,12,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,12,N/A,9,6,N/A,9,4
2332,N/A,5,N/A,1,N/A,N/A,N/A,3,N/A,N/A,N/A,6,7,12,N/A,6,11,N/A,2,4
2333,N/A,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,11,N/A,6,6,N/A,N/A,4
2334,N/A,7,N/A,N/A,N/A,N/A,3,6,N/A,N/A,N/A,5,6,6,N/A,5,6,N/A,N/A,4
2335,N/A,7,N/A,4,N/A,N/A,N/A,3,N/A,N/A,N/A,4,1,9,N/A,6,6,N/A,11,4
2336,N/A,7,N/A,5,N/A,N/A,N/A,1,N/A,N/A,N/A,5,9,12,N/A,10,6,N/A,N/A,4
2337,N/A,5,N/A,6,9,N/A,N/A,5,N/A,N/A,N/A,5,11,12,N/A,10,6,N/A,N/A,4
2338,N/A,N/A,N/A,7,11,N/A,N/A,N/A,7,N/A,N/A,6,4,8,N/A,11,6,N/A,N/A,4
2339,N/A,N/A,N/A,8,9,N/A,N/A,N/A,N/A,N/A,N/A,5,10,12,N/A,6,6,N/A,N/A,4
2340,N/A,7,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,9,N/A,N/A,11,N/A,N/A,4
2341,N/A,7,N/A,10,N/A,N/A,N/A,6,N/A,N/A,N/A,6,11,12,N/A,N/A,6,N/A,N/A,4
2342,N/A,7,N/A,N/A,N/A,N/A,11,4,N/A,N/A,N/A,6,11,11,N/A,6,6,N/A,N/A,4
2343,N/A,5,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1,6,N/A,N/A,6,N/A,3,4
2344,N/A,5,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,9,N/A,N/A,6,N/A,N/A,4
2345,N/A,7,N/A,N/A,10,N/A,2,N/A,N/A,N/A,N/A,6,3,11,N/A,N/A,6,N/A,N/A,4
2346,N/A,N/A,6,3,8,N/A,N/A,3,N/A,N/A,N/A,5,4,9,N/A,N/A,8,N/A,N/A,4
2347,N/A,N/A,N/A,N/A,5,N/A,4,N/A,5,N/A,N/A,6,5,10,N/A,6,10,N/A,N/A,4
2348,N/A,7,N/A,5,N/A,N/A,N/A,2,N/A,N/A,N/A,5,11,12,N/A,6,6,N/A,N/A,4
2349,N/A,7,N/A,N/A,N/A,N/A,6,3,N/A,N/A,N/A,4,11,12,N/A,3,9,N/A,N/A,4
2350,N/A,7,N/A,7,N/A,N/A,N/A,5,N/A,N/A,N/A,6,2,7,N/A,9,6,N/A,N/A,4
2351,N/A,5,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A,8,1,10,N/A,4,6,N/A,N/A,4
2352,N/A,7,2,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,4,12,N/A,7,6,N/A,N/A,4
2353,N/A,7,N/A,10,7,N/A,N/A,3,N/A,N/A,N/A,6,1,3,N/A,6,6,N/A,N/A,4
2354,N/A,N/A,N/A,N/A,8,N/A,11,N/A,N/A,N/A,N/A,5,10,12,N/A,4,9,N/A,N/A,4
2355,N/A,N/A,N/A,N/A,5,N/A,12,N/A,N/A,N/A,N/A,6,3,8,N/A,6,9,N/A,N/A,4
2356,N/A,7,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,5,7,7,N/A,6,6,N/A,N/A,4
2357,N/A,5,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,5,8,11,N/A,N/A,6,N/A,N/A,4
2358,N/A,5,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,6,N/A,10,N/A,N/A,11,N/A,N/A,4
2359,N/A,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,9,N/A,N/A,6,N/A,N/A,4
2360,N/A,7,11,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,6,10,N/A,6,6,N/A,N/A,4
2361,N/A,7,N/A,6,9,N/A,N/A,7,N/A,N/A,N/A,5,N/A,11,N/A,7,6,N/A,5,4
2362,N/A,N/A,N/A,7,11,N/A,N/A,N/A,N/A,N/A,N/A,6,7,9,N/A,N/A,6,N/A,8,4
2363,N/A,N/A,N/A,8,7,N/A,N/A,N/A,N/A,N/A,N/A,6,5,10,N/A,N/A,6,N/A,N/A,4
2364,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,6,N/A,11,N/A,N/A,9,N/A,N/A,4
2365,N/A,7,N/A,N/A,N/A,N/A,10,6,N/A,N/A,N/A,6,10,9,N/A,6,6,N/A,6,4
2366,N/A,5,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,5,N/A,N/A,6,N/A,8,4
2367,N/A,5,N/A,N/A,N/A,N/A,12,5,N/A,N/A,N/A,5,10,5,N/A,N/A,6,N/A,N/A,4
2368,N/A,7,7,N/A,N/A,N/A,1,5,N/A,N/A,N/A,6,1,10,N/A,N/A,6,N/A,N/A,4
2369,N/A,7,N/A,N/A,10,N/A,2,N/A,N/A,N/A,N/A,6,5,11,N/A,N/A,6,N/A,N/A,4
2370,N/A,N/A,N/A,N/A,7,N/A,3,N/A,N/A,N/A,N/A,N/A,7,4,N/A,6,6,N/A,N/A,4
2371,N/A,N/A,N/A,4,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,11,6,N/A,4,4
2372,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,11,N/A,N/A,7,N/A,7,4
2373,N/A,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,4,9,N/A,N/A,6,N/A,N/A,4
2374,N/A,7,N/A,7,N/A,N/A,N/A,1,N/A,N/A,N/A,6,10,12,N/A,N/A,6,N/A,N/A,4
2375,N/A,5,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,4,N/A,N/A,4,N/A,N/A,4
2376,N/A,5,N/A,9,N/A,N/A,N/A,7,N/A,N/A,N/A,6,8,12,N/A,6,6,N/A,N/A,4
2377,N/A,5,6,N/A,8,N/A,10,8,3,N/A,N/A,6,9,12,N/A,6,6,N/A,N/A,4
2378,N/A,N/A,N/A,11,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,11,N/A,10,6,N/A,N/A,4
2379,N/A,N/A,N/A,12,10,N/A,N/A,N/A,N/A,N/A,N/A,5,6,12,N/A,9,6,N/A,N/A,4
2380,N/A,7,N/A,1,N/A,N/A,N/A,7,N/A,N/A,N/A,7,11,9,N/A,10,6,N/A,N/A,4
2381,N/A,5,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,12,N/A,6,6,N/A,N/A,4
2382,N/A,7,N/A,3,N/A,N/A,N/A,N/A,7,N/A,N/A,6,1,9,N/A,N/A,6,N/A,N/A,4
2383,N/A,5,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,9,N/A,6,6,N/A,N/A,4
2384,N/A,5,4,5,N/A,N/A,N/A,5,9,N/A,N/A,6,N/A,10,N/A,9,6,N/A,N/A,4
2385,N/A,5,N/A,N/A,10,N/A,6,6,N/A,N/A,N/A,6,10,9,N/A,10,4,N/A,N/A,4
2386,N/A,N/A,N/A,N/A,10,N/A,7,6,N/A,N/A,N/A,7,9,8,N/A,6,4,N/A,11,4
2387,N/A,N/A,N/A,8,7,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,11,N/A,N/A,5,N/A,5,4
2388,N/A,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,6,N/A,6,N/A,N/A,6,N/A,N/A,4
2389,N/A,5,N/A,10,N/A,N/A,N/A,2,N/A,N/A,N/A,5,9,11,N/A,N/A,10,N/A,N/A,4
2390,N/A,5,N/A,11,N/A,N/A,N/A,N/A,10,N/A,N/A,6,11,9,N/A,N/A,6,N/A,N/A,4
2391,N/A,5,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,4,4,8,N/A,N/A,6,N/A,N/A,4
2392,N/A,7,7,1,N/A,N/A,N/A,3,N/A,N/A,N/A,6,8,7,N/A,6,6,N/A,N/A,4
2393,N/A,5,N/A,2,11,N/A,N/A,4,N/A,N/A,N/A,5,N/A,7,N/A,6,8,N/A,N/A,4
2394,N/A,N/A,N/A,3,7,N/A,N/A,N/A,N/A,N/A,N/A,6,7,12,N/A,6,11,N/A,N/A,4
2395,N/A,N/A,N/A,4,9,N/A,N/A,1,5,N/A,N/A,5,9,12,N/A,N/A,6,N/A,N/A,4
2396,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,11,N/A,N/A,5,N/A,N/A,4
2397,N/A,5,N/A,N/A,N/A,N/A,6,4,N/A,N/A,N/A,7,8,7,N/A,N/A,8,N/A,N/A,4
2398,N/A,7,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,5,N/A,N/A,6,N/A,N/A,4
2399,N/A,7,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,7,7,N/A,6,6,N/A,N/A,4
2400,N/A,5,N/A,9,N/A,N/A,N/A,1,N/A,N/A,N/A,6,11,11,N/A,6,6,N/A,N/A,4
2401,N/A,7,N/A,N/A,10,N/A,10,2,N/A,N/A,N/A,4,3,6,N/A,11,8,N/A,12,4
2402,N/A,N/A,N/A,11,7,N/A,N/A,7,N/A,N/A,N/A,6,6,11,N/A,5,11,N/A,N/A,4
2403,N/A,N/A,N/A,12,11,N/A,N/A,N/A,N/A,N/A,N/A,6,8,12,N/A,7,10,N/A,N/A,4
2404,N/A,5,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,5,4,10,N/A,6,6,N/A,N/A,4
2405,N/A,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,12,N/A,5,8,N/A,12,4
2406,N/A,5,N/A,N/A,N/A,N/A,3,6,2,N/A,N/A,5,9,9,N/A,8,6,N/A,9,4
2407,N/A,7,N/A,N/A,N/A,12,4,N/A,5,N/A,N/A,6,3,9,N/A,11,6,N/A,10,4
2408,N/A,7,N/A,5,N/A,12,N/A,N/A,N/A,N/A,N/A,5,2,7,N/A,N/A,6,N/A,N/A,4
2409,N/A,5,N/A,6,10,4,N/A,N/A,N/A,N/A,N/A,5,9,9,N/A,6,6,N/A,5,4
2410,N/A,N/A,N/A,7,9,4,N/A,8,N/A,N/A,N/A,N/A,5,7,N/A,7,6,N/A,3,4
2411,N/A,N/A,N/A,N/A,8,12,8,4,N/A,N/A,N/A,5,8,12,N/A,6,6,N/A,N/A,4
2412,N/A,7,3,N/A,N/A,12,9,1,N/A,N/A,N/A,5,11,9,N/A,8,6,N/A,N/A,4
2413,N/A,5,N/A,10,N/A,12,N/A,N/A,N/A,N/A,N/A,5,5,10,N/A,5,6,N/A,N/A,4
2414,N/A,7,N/A,N/A,N/A,12,11,10,N/A,N/A,N/A,6,11,7,N/A,3,6,N/A,N/A,4
2415,N/A,5,N/A,12,N/A,12,N/A,N/A,N/A,N/A,N/A,6,N/A,12,N/A,9,3,N/A,8,4
2416,N/A,7,N/A,1,N/A,4,N/A,N/A,N/A,N/A,N/A,6,10,9,N/A,N/A,6,N/A,N/A,4
2417,N/A,5,N/A,N/A,6,4,2,N/A,N/A,N/A,N/A,6,11,6,N/A,N/A,6,N/A,N/A,N/A
2418,N/A,N/A,N/A,3,10,4,N/A,N/A,N/A,N/A,N/A,8,10,9,N/A,N/A,6,N/A,N/A,N/A
2419,N/A,N/A,N/A,4,9,12,N/A,N/A,N/A,N/A,N/A,6,4,2,N/A,N/A,11,N/A,N/A,N/A
2420,N/A,5,N/A,N/A,N/A,12,5,N/A,N/A,N/A,N/A,5,N/A,5,N/A,N/A,6,N/A,N/A,N/A
